Company,EV,TTTMRev,TTMRev,NTMRev,EV/TTM,EV/NTM,TTMRevGr,NTMRevGr,GP,GP%,RD,RD%,SM,SM%,GA,GA%,EBITDA,EBITDA%,TTMFCF,TTMFCF%,Cash,Cash%,NI,NI%
MOBL US Equity,343.1898,163.926,181.369,204.3,1.892218626,1.679832599,0.106407769,0.126432852,150.5580013,0.830119818,75.35,0.415451373,96.477,0.531937652,28.091,0.154883139,-47.041,-0.259366264,14.708,0.081094344,85.833,0.473250666,-51.76737,-0.285425679
FIVN US Equity,2066.1927,162.09,225.509,266.108,9.162351392,7.76448923,0.391257943,0.180032726,133.1329997,0.59036668,27.12,0.120261276,66.57,0.295198861,29.151,0.129267568,10.643,0.047195456,20.688,0.091739132,68.947,0.305739461,-2.356,-0.010447477
APTI US Equity,1016.1319,160.569,212.478,249.063,4.782292284,4.079818761,0.32328158,0.172182532,147.2339993,0.692937619,40.55,0.190843287,87.949,0.4139205,27.706,0.130394676,-14.33907595,-0.067484991,3.315,0.015601615,55.069,0.259175068,-23.34697,-0.10987947
RPD US Equity,1443.3649,157.437,221.208,260.597,6.524921793,5.538685787,0.405057261,0.17806318,155.653999,0.703654474,50.938,0.230271961,111.593,0.504470905,30.293,0.13694351,-47.29539241,-0.213805072,-7.388,-0.03339843,51.562,0.233092836,-53.869,-0.243521934
PRO US Equity,1209.0925,153.276,183.617,205.868,6.584861424,5.873144442,0.197950103,0.12118159,109.5009998,0.596355456,56.021,0.305097023,68.116,0.37096783,40.336,0.219674649,-44.248,-0.240979866,-6.407,-0.034893283,160.505,0.874129302,-63.30455013,-0.344764102
QTWO US Equity,2059.2656,150.224,215.201,265.752,9.569033601,7.748824468,0.432534082,0.234901325,106.5359994,0.495053459,40.338,0.187443367,41.17,0.19130952,37.179,0.172764067,-7.596,-0.035297234,-8.841,-0.041082523,57.961,0.26933425,-24.3462,-0.113132374
MIME US Equity,1905.4384,141.841,282.143,349.183,6.753449137,5.456847556,0.989149823,0.237610006,206.719996,0.732678096,38.373,0.136005501,121.246,0.429732441,36.989,0.131100187,17.619,0.062447057,19.605,0.069486041,78.339,0.277657075,-11.20007683,-0.039696455
MB US Equity,1454.999,139.021,211.739,279.257,6.871662755,5.210250773,0.523072054,0.318873708,149.787998,0.707418085,35.81,0.169123307,71.825,0.339214788,37.471,0.176967871,-11.43591139,-0.054009471,-8.91,-0.042080108,232.019,1.095778293,-22.76338,-0.107506789
APPN US Equity,1409.3098,132.923,206.789,220.108,6.815206805,6.402810439,0.555705183,0.064408648,128.8959999,0.623321356,34.835,0.168456736,81.966,0.396375049,27.15,0.131293251,-30.616,-0.148054297,-25.271,-0.122206694,73.758,0.356682415,-33.673,-0.162837482
TENB US Equity,2961.8824,124.371,187.727,294.177,15.77760471,10.06836836,0.509411358,0.567046829,162.139,0.863695686,57.673,0.307217395,116.299,0.619511312,28.927,0.154090781,-36.068,-0.192130061,-9.021,-0.048053823,27.21,0.144944521,-41.022,-0.218519446
BL US Equity,2165.1193,123.123,202.842,246.788,10.6739201,8.773195212,0.647474477,0.216651384,157.4909999,0.776422042,23.874,0.117697518,109.775,0.541184764,36.956,0.182191065,-13.472,-0.066416225,9.206,0.045385078,31.104,0.153341024,-33.92033273,-0.167225391
AGYS US Equity,328.0692,120.366,127.502,144.8,2.573051403,2.265671271,0.059285845,0.13566846,65.63600069,0.514784087,27.936,0.219102445,18.075,0.141762482,24.028,0.188451946,6.675,0.05235212,-4.223,-0.033121049,39.943,0.313273517,-5.38838,-0.042261141
CBLK US Equity,1444.5421,116.239,162.014,226.63,8.916156011,6.374010943,0.393800704,0.398829731,126.376,0.780031355,52.047,0.321250015,107.19,0.661609491,22.337,0.137870801,-48.109,-0.296943474,-12.823,-0.079147481,36.073,0.222653598,-55.827,-0.344581332
ECOM US Equity,268.7581,113.2,128.307,134.504,2.094648772,1.998142063,0.133454064,0.048298222,101.3909994,0.790221885,21.868,0.170434972,63.495,0.494867778,27.8,0.216667836,-4.341,-0.033832916,-1.639,-0.01277405,53.422,0.41636076,-10.437,-0.081343964
INST US Equity,1011.2339,110.88,184.837,231.289,5.470949539,4.372165991,0.667000361,0.251313319,130.4860018,0.70595174,48.293,0.261273446,83.716,0.452917976,31.196,0.168775732,-40.238,-0.217694509,-18.589,-0.100569691,35.693,0.193105277,-49.079,-0.265525842
APPF US Equity,2014.3187,105.586,165.38,205.85,12.17994135,9.785371387,0.566306139,0.244709155,102.4489997,0.619476356,16.578,0.100241867,28.709,0.173594147,21.199,0.128183577,31.149,0.188348047,30.143,0.182265086,16.109,0.097405974,18.07134,0.109271617
TRHC US Equity,1498.6234,94.062,169.743,217.958,8.828778801,6.875743951,0.804586337,0.284047059,52.63700036,0.310098209,5.628,0.033156006,5.542,0.032649358,21.181,0.12478276,17.134,0.100940834,7.027,0.041397878,10.43,0.061445833,8.891516771,0.052382229
ZUO US Equity,2202.7654,92.184,167.926,255.9,13.11747675,8.60791481,0.82163933,0.523885521,88.02,0.524159451,38.639,0.230095399,73.087,0.435233377,22.572,0.13441635,-39.728,-0.236580399,-29.518,-0.175779808,48.208,0.287078832,-47.155,-0.280808213
YEXT US Equity,1797.1029,89.724,198.543,249.187,9.051454345,7.211864584,1.212819313,0.255078245,147.7909982,0.744377783,25.687,0.129377515,126.98,0.639559189,40.079,0.201865591,-68.009,-0.342540407,-32.907,-0.165742434,34.367,0.173096004,-73.292,-0.369149252
OKTA US EQUITY,5590.6316,85.907,324.195,424.094,17.24465707,13.18252934,2.773790262,0.308144789,228.2500021,0.70405158,70.821,0.218451858,172.973,0.533546168,51.803,0.159789633,-116.569,-0.35956446,-21.871,-0.067462484,127.949,0.39466679,-123.625,-0.381329138
AYX US Equity,2363.1176,85.79,162.36,224.288,14.55480168,10.53608575,0.892528267,0.381423996,140.4040027,0.864769664,29.342,0.180721853,66.42,0.409090909,32.241,0.198577236,-13.546,-0.08343188,16.873,0.10392338,119.716,0.737349101,-19.66659,-0.121129527
COUP US Equity,3256.0627,83.678,219.095,265.793,14.86141948,12.2503704,1.618310667,0.213140419,150.8690017,0.688600843,44.536,0.203272553,88.722,0.404947625,38.578,0.17607887,-34.963,-0.159579178,20.447,0.093324813,412.903,1.884584313,-49.333,-0.225167165
SEND US Equity,1346.6967,79.929,128.289,156.166,10.49736688,8.623494871,0.60503697,0.217298443,95.23400032,0.742339564,29.643,0.231064238,28.185,0.219699273,30.101,0.234634302,4.502,0.035092642,6.223,0.048507666,175.496,1.367973871,-4.702,-0.036651623
EVBG US Equity,1455.3159,76.846,122.828,163.084,11.84840509,8.923719678,0.598365562,0.32774286,85.02600006,0.692236298,22.241,0.181074348,46.998,0.382632624,22.895,0.186398867,-24.665,-0.200809262,-5.074,-0.041309799,102.754,0.836568209,-39.18864,-0.319052985
UPLD US Equity,789.9794,74.767,121.48,163.429,6.502958512,4.833777359,0.624780986,0.345316101,81.36999881,0.669822183,15.253,0.125559763,15.307,0.126004281,23.291,0.191727033,25.583,0.210594337,5.131,0.042237405,22.326,0.183783339,-2.040370877,-0.016795941
AMBR US Equity,259.9698,73.16119,81.967007,89.275,3.171639535,2.912011201,0.120361861,0.089157739,44.32934675,0.54081939,14.941394,0.182285465,22.526535,0.274824418,15.263297,0.186212692,-4.325687,-0.052773514,3.94418,0.048119117,9.360601,0.114199619,-10.418129,-0.127101493
MDB US Equity,3220.281,65.271,192.241,271.538,16.75127054,11.85941194,1.945274318,0.412487451,138.5259988,0.720585093,62.202,0.323562612,109.95,0.571938348,36.775,0.191296342,-107.693,-0.560197877,-44.983,-0.233992749,61.902,0.32200207,-111,-0.577400242
ATTU US Equity,304.525,54.494,72.801,86.84,4.182978256,3.506736527,0.335945242,0.192840758,62.06499983,0.852529496,14.01,0.192442412,35.893,0.493028942,5.196,0.071372646,3.614,0.049642175,6.449,0.088583948,29.087,0.399541215,-1.587,-0.021799151
SMAR US Equity,2499.6136,40.751,111.253,195.833,22.46783098,12.76400607,1.730067974,0.760249162,89.571,0.805110873,37.59,0.337878529,72.925,0.655487942,28.034,0.251984216,-44.902,-0.403602599,-19.587,-0.176058174,58.158,0.522754443,-49.106,-0.441390345
MITK US Equity,305.1516,34.701,55.426,77.417,5.505567784,3.941661392,0.597245036,0.396763252,48.27600027,0.870999175,10.43,0.188178833,14.484,0.261321402,11.31,0.204055858,6.451384615,0.116396359,4.073,0.073485368,9.086,0.163930285,2.975,0.05367517
DMRC US Equity,255.0078,21.793,24.586,25.217,10.37207354,10.11253519,0.128160418,0.025665013,16.06700011,0.653501998,15.435,0.627796307,16.636,0.676645245,9.68,0.393720003,-27.398,-1.114374034,-21.484,-0.873830635,40.823,1.660416497,-28.76,-1.169771415
SSTI US Equity,388.2289,15.507,29.199,39.659,13.29596562,9.789175219,0.882956084,0.358231446,15.93399978,0.545703612,4.159,0.142436385,6.179,0.211616836,5.595,0.191616151,0.914,0.031302442,-10.176,-0.348505086,19.567,0.670125689,-4.58801,-0.157129011
